date,temperature,label
2020-12-01 00:00:00,15.25,outside
2020-12-01 00:00:00,24.25,inside
2020-12-01 00:30:00,24.187,inside
2020-12-01 00:30:00,15.367,outside
2020-12-01 01:00:00,14.383,outside
2020-12-01 01:00:00,24.5,inside
2020-12-01 01:30:00,13.567,outside
2020-12-01 01:30:00,24.25,inside
2020-12-01 02:00:00,13.156,outside
2020-12-01 02:00:00,24.562,inside
2020-12-01 02:30:00,24.562,inside
2020-12-01 02:30:00,12.922,outside
2020-12-01 03:00:00,24.312,inside
2020-12-01 03:00:00,12.189,outside
2020-12-01 03:30:00,24.0,inside
2020-12-01 03:30:00,12.283,outside
2020-12-01 04:00:00,24.25,inside
2020-12-01 04:00:00,12.072,outside
2020-12-01 04:30:00,23.937,inside
2020-12-01 04:30:00,11.411,outside
2020-12-01 05:00:00,23.875,inside
2020-12-01 05:00:00,11.5,outside
2020-12-01 05:30:00,23.875,inside
2020-12-01 05:30:00,11.656,outside
2020-12-01 06:00:00,11.528,outside
2020-12-01 06:00:00,23.812,inside
2020-12-01 06:30:00,11.144,outside
2020-12-01 06:30:00,23.875,inside
2020-12-01 07:00:00,11.306,outside
2020-12-01 07:00:00,23.687,inside
2020-12-01 07:30:00,23.562,inside
2020-12-01 07:30:00,11.028,outside
2020-12-01 08:00:00,10.111,outside
2020-12-01 08:00:00,23.375,inside
2020-12-01 08:30:00,9.1,outside
2020-12-01 08:30:00,23.5,inside
2020-12-01 09:00:00,8.772,outside
2020-12-01 09:00:00,23.625,inside
2020-12-01 09:30:00,9.106,outside
2020-12-01 09:30:00,23.625,inside
2020-12-01 10:00:00,10.1,outside
2020-12-01 10:00:00,23.625,inside
2020-12-01 10:30:00,23.625,inside
2020-12-01 10:30:00,9.056,outside
2020-12-01 11:00:00,9.483,outside
2020-12-01 11:00:00,23.562,inside
2020-12-01 11:30:00,23.562,inside
2020-12-01 11:30:00,8.922,outside
2020-12-01 12:00:00,8.511000000000001,outside
2020-12-01 12:00:00,23.562,inside
2020-12-01 12:30:00,8.078,outside
2020-12-01 12:30:00,23.562,inside
2020-12-01 13:00:00,7.9,outside
2020-12-01 13:00:00,23.437,inside
2020-12-01 13:30:00,23.437,inside
2020-12-01 13:30:00,7.494,outside
2020-12-01 14:00:00,23.5,inside
2020-12-01 14:00:00,7.45,outside
2020-12-01 14:30:00,7.794,outside
